,Titles,NER
31455,louis vuitton giant monogram on the go mm 2way tote shoulder bag m45039 90131197,"(0, 13, 'Brand'),(14, 19, 'Size'),(20, 28, 'Pattern'),(11, 23, 'Model'),(42, 46, 'Features'),(47, 51, 'Type'),(52, 60, 'Type'),(61, 64, 'Type'),(65, 71, 'MPN'),(72, 80, 'No Tag')"
31465,auth gucci tote bag gg brown guccissima leather hand bag sukey very good,"(0, 4, 'No Tag'),(5, 10, 'Brand'),(11, 15, 'Type'),(16, 19, 'Type'),(20, 22, 'Brand'),(23, 28, 'Color'),(29, 39, 'Product Line'),(40, 47, 'Material'),(48, 56, 'Type'),(57, 62, 'Product Line'),(63, 67, 'No Tag'),(68, 72, 'No Tag')"
31477,auth louis vuitton triana n51155 ebene damier vi0015 womens handbag,"(0, 4, 'No Tag'),(5, 18, 'Brand'),(19, 25, 'Model'),(26, 32, 'MPN'),(33, 38, 'Color'),(39, 45, 'Product Line'),(46, 52, 'MPN'),(53, 59, 'Department'),(60, 67, 'Type')"
31486,authentic gucci bamboo hand bag leather navy blue c4210,"(0, 9, 'No Tag'),(10, 15, 'Brand'),(16, 22, 'Product Line'),(23, 31, 'Type'),(32, 39, 'Material'),(40, 44, 'Color'),(45, 49, 'Color'),(50, 55, 'No Tag')"
31494,virgil abloh louis vuitton neo porte documents voyage mirror silver monogram bag,"(0, 26, 'Brand'),(27, 53, 'Model'),(54, 60, 'Features'),(61, 67, 'Color'),(68, 76, 'Pattern'),(77, 80, 'Type')"
31500,assorted 10pc indian backpack cotton hippie gypsy travel college casual bags,"(0, 8, 'No Tag'),(9, 13, 'No Tag'),(14, 20, 'Theme'),(21, 29, 'Type'),(30, 36, 'Material'),(37, 43, 'Style'),(44, 49, 'Theme'),(50, 71, 'Occasion'),(72, 76, 'Type')"
31509,chanel chain strap matelasse cc mark pass case lambskin leather black x gold,"(0, 6, 'Brand'),(7, 12, 'Handle/Strap Material'),(13, 18, 'Obscure'),(19, 28, 'Pattern'),(29, 36, 'Accents'),(37, 41, 'Obscure'),(42, 46, 'Obscure'),(47, 63, 'Material'),(64, 69, 'Color'),(70, 71, 'No Tag'),(72, 76, 'Color')"
31520,nwt furla black / onyx pebbled leather julia tote bag $ 398 - made in italy,"(0, 3, 'No Tag'),(4, 9, 'Brand'),(10, 15, 'Color'),(16, 17, 'No Tag'),(18, 22, 'Color'),(23, 30, 'Pattern'),(31, 38, 'Material'),(39, 44, 'Model'),(45, 49, 'Type'),(50, 53, 'Type'),(54, 55, 'No Tag'),(56, 59, 'No Tag'),(60, 61, 'No Tag'),(62, 66, 'No Tag'),(67, 69, 'No Tag'),(70, 75, 'Country/Region of Manufacture')"
31536,michael kors jet set chain astor pebbled leather large satchel shoulder bag,"(0, 12, 'Brand'),(13, 20, 'Product Line'),(21, 26, 'Handle/Strap Material'),(27, 40, 'Pattern'),(41, 48, 'Material'),(49, 54, 'Size'),(55, 62, 'Type'),(63, 71, 'Type'),(72, 75, 'Type')"
31545,louis vuitton saint cloud gm shoulder bag monogram leather brown m51242 73bw124,"(0, 13, 'Brand'),(14, 28, 'Model'),(29, 37, 'Type'),(38, 41, 'Type'),(42, 50, 'Pattern'),(51, 58, 'Material'),(59, 64, 'Color'),(65, 71, 'MPN'),(72, 79, 'No Tag')"
31554,louis vuitton bucket pm purse attached pouch bag monogram vi0957 05826,"(0, 13, 'Brand'),(14, 23, 'Product Line'),(24, 29, 'Type'),(30, 38, 'No Tag'),(39, 44, 'Type'),(45, 48, 'Type'),(49, 57, 'Pattern'),(58, 64, 'MPN'),(65, 70, 'No Tag')"
31563,nwt tory burch harper black leather center zip tote / shoulder bag,"(0, 3, 'No Tag'),(4, 14, 'Brand'),(15, 21, 'Model'),(22, 27, 'Color'),(28, 35, 'Material'),(36, 42, 'No Tag'),(43, 46, 'Closure'),(47, 51, 'Type'),(52, 53, 'No Tag'),(54, 62, 'Type'),(63, 66, 'Type')"
31574,louis vuitton black taiga leather odessa laptop bag 917lv17,"(0, 13, 'Brand'),(14, 19, 'Color'),(20, 33, 'Material'),(34, 40, 'Model'),(41, 47, 'No Tag'),(48, 51, 'Type'),(52, 59, 'MPN')"
31581,kate spade melody forest floral medium flap shoulder bag crossbody pink multi,"(0, 10, 'Brand'),(11, 24, 'Model'),(25, 31, 'Pattern'),(32, 38, 'Size'),(39, 43, 'Type'),(44, 52, 'Type'),(53, 56, 'Type'),(57, 66, 'Type'),(67, 71, 'Color'),(72, 77, 'No Tag')"
31591,judith leiber special black satin evening clutch swarovski crystal minaudiere,"(0, 13, 'Brand'),(14, 21, 'No Tag'),(22, 27, 'Color'),(28, 33, 'Material'),(34, 41, 'Occasion'),(42, 48, 'Type'),(49, 66, 'Accents'),(67, 77, 'Style')"
31599,embroidery pouch handmade flowers hanfu retro embroidered waist chinese style,"(0, 10, 'Accents'),(11, 16, 'Type'),(17, 25, 'No Tag'),(26, 33, 'Pattern'),(34, 39, 'No Tag'),(40, 45, 'Style'),(46, 57, 'Accents'),(58, 63, 'Style'),(64, 71, 'Theme'),(72, 77, 'No Tag')"
31609,lilo and stich crossbody blue purse disney adjustable strap,"(0, 14, 'Character'),(15, 24, 'Type'),(25, 29, 'Color'),(30, 35, 'Type'),(36, 42, 'Brand'),(43, 53, 'Features'),(54, 59, 'Handle Style')"
31616,louis vuitton keepall 50 travel hand bag monogram leather brown france,"(0, 13, 'Brand'),(14, 21, 'Product Line'),(22, 24, 'Model'),(25, 31, 'Occasion'),(32, 40, 'Type'),(41, 49, 'Pattern'),(50, 57, 'Material'),(58, 63, 'Color'),(64, 70, 'Country/Region of Manufacture')"
31625,women purse genuine brown leather cross body shoulder handmade bag from india,"(0, 5, 'Department'),(6, 11, 'Type'),(12, 19, 'No Tag'),(20, 25, 'Color'),(26, 33, 'Material'),(34, 44, 'Type'),(45, 53, 'Type'),(54, 62, 'No Tag'),(63, 66, 'Type'),(67, 71, 'No Tag'),(72, 77, 'Country/Region of Manufacture')"
31636,balenciaga bag croc-embossed north-south camel leather tote auth,"(0, 10, 'Brand'),(11, 14, 'Type'),(15, 28, 'Pattern'),(29, 40, 'Product Line'),(41, 54, 'Material'),(55, 59, 'Type'),(60, 64, 'No Tag')"
31643,vintage ivory chanel classic double flap lambskin bag / 24k gold plated hardware,"(0, 7, 'No Tag'),(8, 13, 'Color'),(14, 20, 'Brand'),(21, 28, 'Model'),(29, 40, 'Type'),(41, 49, 'Material'),(50, 53, 'Type'),(54, 55, 'No Tag'),(56, 71, 'Hardware Material'),(72, 80, 'No Tag')"
31653,authentic bottega veneta black silk woven shoulder bag purse ( see description ),"(0, 9, 'No Tag'),(10, 24, 'Brand'),(25, 30, 'Color'),(31, 35, 'Material'),(36, 41, 'Fabric Type'),(42, 50, 'Type'),(51, 54, 'Type'),(55, 60, 'Type'),(61, 62, 'No Tag'),(63, 66, 'No Tag'),(67, 78, 'No Tag'),(79, 80, 'No Tag')"
31665,chanel coco mark handbag tote bag lapan far beige #rc 1214,"(0, 6, 'Brand'),(7, 11, 'Product Line'),(12, 16, 'Accents'),(17, 24, 'Type'),(25, 29, 'Type'),(21, 24, 'Type'),(34, 39, 'No Tag'),(40, 43, 'No Tag'),(44, 49, 'Color'),(0, 3, 'No Tag'),(54, 58, 'No Tag')"
31676,new w tag kipling harper expendable backpack kipling furry monkey,"(0, 3, 'No Tag'),(2, 3, 'No Tag'),(6, 9, 'No Tag'),(10, 17, 'Brand'),(18, 24, 'Model'),(25, 35, 'Features'),(36, 44, 'Type'),(10, 17, 'Brand'),(53, 58, 'No Tag'),(59, 65, 'No Tag')"
31686,authentic louis vuitton m95783 tray murakami takashi camouflage tote bag 0232,"(0, 9, 'No Tag'),(10, 23, 'Brand'),(24, 30, 'MPN'),(31, 35, 'Style'),(36, 52, 'Product Line'),(53, 63, 'Pattern'),(64, 68, 'Type'),(69, 72, 'Type'),(73, 77, 'No Tag')"
31695,new leather backpack sling healthy back purse shoulder bag hand made in usa !,"(0, 3, 'No Tag'),(4, 11, 'Material'),(12, 20, 'Type'),(21, 26, 'Handle Style'),(27, 34, 'No Tag'),(12, 16, 'No Tag'),(40, 45, 'Type'),(46, 54, 'Type'),(55, 58, 'Type'),(59, 63, 'No Tag'),(64, 68, 'No Tag'),(23, 25, 'No Tag'),(72, 75, 'Country/Region of Manufacture'),(76, 77, 'No Tag')"
31709,"proenza schouler womens ps1 satchel messenger shoulder handbag , purple suede","(0, 16, 'Brand'),(17, 23, 'Department'),(24, 27, 'Model'),(28, 35, 'Type'),(36, 45, 'Type'),(46, 54, 'Type'),(55, 62, 'Type'),(63, 64, 'No Tag'),(65, 71, 'Color'),(72, 77, 'Material')"
31719,women green orange brown straw large summer colorful tote bag leather strap,"(0, 5, 'Department'),(6, 11, 'Color'),(12, 18, 'Color'),(19, 24, 'Color'),(25, 30, 'Material'),(31, 36, 'Size'),(37, 43, 'Season'),(44, 52, 'No Tag'),(53, 57, 'Type'),(58, 61, 'Type'),(62, 69, 'Material'),(70, 75, 'Handle Style')"
31731,original authentic lana marks white crocodile bag with gold buckle & strap ring,"(0, 8, 'No Tag'),(9, 18, 'No Tag'),(19, 29, 'Brand'),(30, 35, 'Color'),(36, 45, 'Pattern'),(46, 49, 'Type'),(50, 54, 'No Tag'),(55, 59, 'Color'),(60, 66, 'Closure'),(67, 68, 'No Tag'),(69, 74, 'Handle Style'),(75, 79, 'Accents')"
31743,balenciaga papier black leather tote bag 338582,"(0, 10, 'Brand'),(11, 17, 'Model'),(18, 23, 'Color'),(24, 31, 'Material'),(32, 36, 'Type'),(37, 40, 'Type'),(41, 47, 'No Tag')"
31750,kah & kee lavender purple backpack diaper bag,"(0, 9, 'Brand'),(10, 18, 'Color'),(19, 25, 'Color'),(26, 34, 'Type'),(35, 41, 'No Tag'),(42, 45, 'Type')"
31756,auth louis vuitton vernis melrose nm cherry red bag v tote & shoulder strap euc,"(0, 4, 'No Tag'),(5, 18, 'Brand'),(19, 25, 'Product Line'),(26, 36, 'Model'),(37, 43, 'Color'),(44, 47, 'Color'),(48, 51, 'Type'),(11, 12, 'No Tag'),(54, 58, 'Type'),(59, 60, 'No Tag'),(61, 75, 'Handle Style'),(76, 79, 'No Tag')"
31768,nwt ! coach op art needlepoint east west tote handbag purse shopper 26767,"(0, 3, 'No Tag'),(4, 5, 'No Tag'),(6, 11, 'Brand'),(12, 18, 'Model'),(19, 30, 'Accents'),(31, 40, 'Product Line'),(41, 45, 'Type'),(46, 53, 'Type'),(54, 59, 'Type'),(60, 67, 'Type'),(68, 73, 'No Tag')"
31779,prada clutch bag bp0177 pink secondhand satin woman women 's popularity staple,"(0, 5, 'Brand'),(6, 16, 'Type'),(17, 23, 'No Tag'),(24, 28, 'Color'),(29, 39, 'No Tag'),(40, 45, 'Material'),(46, 60, 'Department'),(61, 71, 'No Tag'),(72, 78, 'No Tag')"
31788,marc jacobs lime green leather zip closure buckle detail hobo handbag,"(0, 11, 'Brand'),(12, 16, 'Color'),(17, 22, 'Color'),(23, 30, 'Material'),(31, 34, 'Closure'),(35, 42, 'No Tag'),(43, 49, 'Closure'),(50, 56, 'No Tag'),(57, 61, 'Type'),(62, 69, 'Type')"
31798,vintage kotur gold tone jacquard swarovski clutch purse - new york hong kong,"(0, 7, 'No Tag'),(8, 13, 'Brand'),(14, 18, 'Color'),(19, 23, 'Color'),(24, 32, 'Fabric Type'),(33, 42, 'Accents'),(43, 49, 'Type'),(50, 55, 'Type'),(56, 57, 'No Tag'),(58, 61, 'No Tag'),(62, 66, 'No Tag'),(67, 71, 'No Tag'),(72, 76, 'No Tag')"
31811,new authentic bottega veneta smooth leather mini pouch zabaione,"(0, 3, 'No Tag'),(4, 13, 'No Tag'),(14, 28, 'Brand'),(29, 35, 'Features'),(36, 43, 'Material'),(44, 48, 'Size'),(49, 54, 'Type'),(55, 63, 'Color')"
31819,new louis vuitton paris lv noe epi orange leather women 's drawstring bucket bag,"(0, 3, 'No Tag'),(4, 17, 'Brand'),(18, 23, 'Country/Region of Manufacture'),(24, 26, 'Brand'),(27, 30, 'Model'),(31, 34, 'Material'),(35, 41, 'Color'),(42, 49, 'Material'),(50, 58, 'Department'),(59, 69, 'Closure'),(70, 76, 'Product Line'),(77, 80, 'Type')"
31831,louis vuittons handbags neverfull mm,"(0, 14, 'Brand'),(15, 23, 'Type'),(24, 36, 'Model')"
31834,coach signature cora domed satchel in khaki & orange,"(0, 5, 'Brand'),(6, 15, 'Pattern'),(16, 20, 'Model'),(21, 26, 'Style'),(27, 34, 'Type'),(35, 37, 'No Tag'),(38, 43, 'Color'),(44, 45, 'No Tag'),(46, 52, 'Color')"
31843,coach signature c corner zip wristlet wallet black f58032 new,"(0, 5, 'Brand'),(6, 17, 'Accents'),(18, 24, 'No Tag'),(25, 28, 'Closure'),(29, 37, 'Handle Style'),(38, 44, 'Type'),(45, 50, 'Color'),(51, 57, 'MPN'),(58, 61, 'No Tag')"
31852,coach kristin woven leather round satchel shoulder bag pink tuberose,"(0, 5, 'Brand'),(6, 13, 'Model'),(14, 19, 'Fabric Type'),(20, 27, 'Material'),(28, 33, 'Style'),(34, 41, 'Type'),(42, 50, 'Type'),(51, 54, 'Type'),(55, 59, 'Color'),(60, 68, 'Color')"
31862,gucci gloves studded leather 7,"(0, 5, 'Brand'),(6, 12, 'Obscure'),(13, 20, 'Accents'),(21, 28, 'Obscure'),(29, 30, 'Obscure')"
31867,gucci bee black leather clutch,"(0, 5, 'Brand'),(6, 9, 'Model'),(10, 15, 'Color'),(16, 23, 'Material'),(24, 30, 'Type')"
31872,vintage black beaded evening formal handbag purse with beaded handle cute !,"(0, 7, 'No Tag'),(8, 13, 'Color'),(14, 20, 'Accents'),(21, 35, 'Occasion'),(36, 43, 'Type'),(44, 49, 'Type'),(50, 54, 'No Tag'),(14, 20, 'Accents'),(62, 68, 'Handle Style'),(69, 73, 'No Tag'),(74, 75, 'No Tag')"
31883,authentic new bottega veneta leather tote beige setasettanta collection,"(0, 9, 'No Tag'),(10, 13, 'No Tag'),(14, 28, 'Brand'),(29, 36, 'Material'),(37, 41, 'Type'),(42, 47, 'Color'),(48, 71, 'Product Line')"
31890,louis vuitton siena handbag damier gm,"(0, 13, 'Brand'),(14, 19, 'Model'),(20, 27, 'Type'),(28, 34, 'Product Line'),(35, 37, 'Model')"
31895,new coach f13684 small christie carryall in glitter crossgrain leather oxblood,"(0, 3, 'No Tag'),(4, 9, 'Brand'),(10, 16, 'MPN'),(17, 22, 'Size'),(23, 31, 'Model'),(32, 40, 'Type'),(41, 43, 'No Tag'),(44, 51, 'Accents'),(52, 62, 'Pattern'),(63, 70, 'Material'),(71, 78, 'Color')"
31906,real patent leather genuine cowhide envelope clutch hand bag black brown tan,"(0, 4, 'No Tag'),(5, 19, 'Material'),(20, 27, 'No Tag'),(28, 35, 'Material'),(36, 44, 'Type'),(45, 60, 'Type'),(61, 66, 'Color'),(67, 72, 'Color'),(73, 76, 'Color')"
31915,nwt brighton pretty tough black leather studded crossbody pouch $ 160,"(0, 3, 'No Tag'),(4, 12, 'Brand'),(13, 25, 'Model'),(26, 31, 'Color'),(32, 39, 'Material'),(40, 47, 'Accents'),(48, 57, 'Type'),(58, 63, 'Type'),(64, 65, 'No Tag'),(66, 69, 'No Tag')"
31925,louis vuitton papillon 26 hand bag sd1004 purse damier canvas n51304 auth 10383,"(0, 13, 'Brand'),(14, 25, 'Model'),(26, 34, 'Type'),(35, 41, 'No Tag'),(42, 47, 'Type'),(48, 54, 'Product Line'),(55, 61, 'Fabric Type'),(62, 68, 'MPN'),(69, 73, 'No Tag'),(74, 79, 'No Tag')"
31935,green oriental clutch purse with opalescent floral design,"(0, 5, 'Color'),(6, 14, 'Theme'),(15, 21, 'Type'),(22, 27, 'Type'),(28, 32, 'No Tag'),(33, 43, 'Color'),(44, 50, 'Pattern'),(51, 57, 'No Tag')"
31943,mary frances car drive me crazy beetle auto vw bag handbag white beaded new,"(0, 12, 'Brand'),(13, 16, 'Theme'),(17, 31, 'Model'),(32, 46, 'Theme'),(47, 50, 'Type'),(51, 58, 'Type'),(59, 64, 'Color'),(65, 71, 'Accents'),(72, 75, 'No Tag')"
31952,chanel vintage 1996 black patent leather cc vanity medium zip bag ghw,"(0, 6, 'Brand'),(7, 14, 'No Tag'),(15, 19, 'No Tag'),(20, 25, 'Color'),(26, 40, 'Material'),(41, 43, 'Brand'),(44, 50, 'Style'),(51, 57, 'Size'),(58, 61, 'Closure'),(62, 65, 'Type'),(66, 69, 'No Tag')"
31963,"crossbody purse , maroon , double pouch zipper sides , w / detachable strap","(0, 9, 'Type'),(10, 15, 'Type'),(16, 17, 'No Tag'),(18, 24, 'Color'),(16, 17, 'No Tag'),(27, 39, 'Pocket Type'),(40, 46, 'Closure'),(47, 52, 'No Tag'),(16, 17, 'No Tag'),(55, 56, 'No Tag'),(57, 58, 'No Tag'),(59, 69, 'Features'),(70, 75, 'Handle Style')"
31976,new large navy blue white travel tote shoulder shopper bag,"(0, 3, 'No Tag'),(4, 9, 'Size'),(10, 14, 'Color'),(15, 19, 'Color'),(20, 25, 'Color'),(26, 32, 'Occasion'),(33, 37, 'Type'),(38, 46, 'Type'),(47, 54, 'Type'),(55, 58, 'Type')"
31986,christian dior miss dior promenade bag cannage quilt patent,"(0, 14, 'Brand'),(15, 24, 'Product Line'),(25, 34, 'Model'),(35, 38, 'Type'),(39, 46, 'Pattern'),(47, 52, 'Accents'),(53, 59, 'Material')"
31993,prada sport nylon canvas gray sports hand bag pb9093l,"(0, 5, 'Brand'),(6, 11, 'Occasion'),(12, 17, 'Material'),(18, 24, 'Fabric Type'),(25, 29, 'Color'),(30, 36, 'Occasion'),(37, 45, 'Type'),(46, 53, 'MPN')"
32001,gucci gg canvas waist bag pouch black auth sa1341,"(0, 5, 'Brand'),(6, 8, 'Brand'),(9, 15, 'Fabric Type'),(16, 21, 'Type'),(22, 25, 'Type'),(26, 31, 'Type'),(32, 37, 'Color'),(38, 42, 'No Tag'),(43, 49, 'No Tag')"
32010,fendi backpack â · daypack 7vz034 mouton blue blue bore,"(0, 5, 'Brand'),(6, 14, 'Type'),(15, 16, 'No Tag'),(17, 18, 'No Tag'),(19, 26, 'Type'),(27, 33, 'MPN'),(34, 40, 'Model'),(41, 45, 'Color'),(41, 45, 'Color'),(51, 55, 'No Tag')"
32020,vera bradley grand traveler lotus flower swirl quilted cotton * new with tags *,"(0, 4, 'Obscure'),(5, 12, 'Obscure'),(13, 18, 'Model'),(19, 27, 'Obscure'),(28, 33, 'Obscure'),(34, 40, 'Obscure'),(41, 46, 'Obscure'),(47, 54, 'Obscure'),(55, 61, 'Obscure'),(62, 63, 'Obscure'),(64, 67, 'Obscure'),(68, 72, 'Obscure'),(73, 77, 'Obscure'),(62, 63, 'Obscure')"
32034,new with tag kipling fahrien shoulder / cross body bag - lime green,"(0, 3, 'No Tag'),(4, 8, 'No Tag'),(9, 12, 'No Tag'),(13, 20, 'Brand'),(21, 28, 'Model'),(29, 37, 'Type'),(38, 39, 'No Tag'),(40, 50, 'Type'),(51, 54, 'Type'),(55, 56, 'No Tag'),(57, 61, 'Color'),(62, 67, 'Color')"
32046,christian dior vintage barrel,"(0, 14, 'Brand'),(15, 22, 'No Tag'),(23, 29, 'Style')"
32049,authentic gucci gg pattern shoulder bag pvc leather brown made in italy 69bs065,"(0, 9, 'No Tag'),(10, 15, 'Brand'),(16, 18, 'Pattern'),(19, 26, 'No Tag'),(27, 35, 'Type'),(36, 39, 'Type'),(40, 51, 'Material'),(52, 57, 'Color'),(58, 62, 'No Tag'),(63, 65, 'No Tag'),(66, 71, 'Country/Region of Manufacture'),(72, 79, 'MPN')"
32061,cross body women handbag shoulder multi color canvas big capacity inner pockets,"(0, 10, 'Type'),(11, 16, 'Department'),(17, 24, 'Type'),(25, 33, 'Type'),(34, 39, 'Color'),(40, 45, 'Color'),(46, 52, 'Fabric Type'),(53, 56, 'Size'),(57, 65, 'No Tag'),(66, 79, 'Pocket Type')"
32071,prada 2way hand shoulder bag purple nylon auth rd1791,"(0, 5, 'Brand'),(6, 10, 'Features'),(11, 15, 'Type'),(16, 24, 'Type'),(25, 28, 'Type'),(29, 35, 'Color'),(36, 41, 'Material'),(42, 46, 'No Tag'),(47, 53, 'No Tag')"
32080,vera bradley iconic rfid all in one crossbody handbag womens fits iphone 8 & x,"(0, 12, 'Brand'),(13, 19, 'No Tag'),(20, 24, 'Features'),(25, 28, 'No Tag'),(29, 31, 'No Tag'),(32, 35, 'No Tag'),(36, 45, 'Type'),(46, 53, 'Type'),(54, 60, 'Department'),(61, 65, 'No Tag'),(66, 72, 'No Tag'),(73, 74, 'No Tag'),(75, 76, 'No Tag'),(77, 78, 'No Tag')"
32094,women lady embroidery leather handbag shoulder tote purse satchel messenger bag,"(0, 10, 'Department'),(11, 21, 'Accents'),(22, 29, 'Material'),(30, 37, 'Type'),(38, 46, 'Type'),(47, 51, 'Type'),(52, 57, 'Type'),(58, 65, 'Type'),(66, 75, 'Type'),(34, 37, 'Type')"
32104,coach hampton white pink satin leather weekend hmw tote purse bag f11993 swtpk,"(0, 5, 'Brand'),(6, 13, 'Model'),(14, 19, 'Color'),(20, 24, 'Color'),(25, 38, 'Material'),(39, 46, 'Occasion'),(47, 50, 'No Tag'),(51, 55, 'Type'),(56, 61, 'Type'),(62, 65, 'Type'),(66, 72, 'MPN'),(73, 78, 'No Tag')"
32116,chanel quilted matelasse vintage small diana 22 cc lambskin chain shoulder bag,"(0, 6, 'Brand'),(7, 14, 'Features'),(15, 24, 'Pattern'),(25, 32, 'No Tag'),(33, 38, 'Size'),(39, 47, 'Model'),(48, 50, 'Brand'),(51, 59, 'Material'),(60, 65, 'Handle/Strap Material'),(66, 74, 'Type'),(75, 78, 'Type')"
32127,chanel ivory creme soft caviar french riviera tote hobo shopping gst very good,"(0, 6, 'Brand'),(7, 12, 'Color'),(13, 18, 'Color'),(19, 23, 'Features'),(24, 30, 'Product Line'),(31, 37, 'Model'),(38, 45, 'Measurement, dimension'),(46, 50, 'Type'),(51, 55, 'Type'),(56, 64, 'Type'),(65, 68, 'Model'),(69, 73, 'No Tag'),(74, 78, 'No Tag')"
32140,new without tag authentic 100 % handmade bag multi colored short beaded strap,"(0, 3, 'No Tag'),(4, 11, 'No Tag'),(12, 15, 'No Tag'),(16, 25, 'No Tag'),(26, 29, 'No Tag'),(30, 31, 'No Tag'),(32, 40, 'No Tag'),(41, 44, 'Type'),(45, 50, 'Color'),(51, 58, 'Color'),(59, 64, 'Handle Style'),(65, 71, 'Accents'),(72, 77, 'Handle Style')"
32153,louis vuitton m44399 transformed monogram catgram panam-set twin shoulder bag,"(0, 13, 'Brand'),(14, 20, 'MPN'),(21, 32, 'No Tag'),(33, 41, 'Pattern'),(42, 59, 'Model'),(60, 64, 'No Tag'),(65, 73, 'Type'),(74, 77, 'Type')"
32161,women single shoulder bag backpack fashion soft faux leather crossbody handbag,"(0, 5, 'Department'),(6, 12, 'Handle Style'),(13, 25, 'Type'),(26, 34, 'Type'),(35, 42, 'No Tag'),(43, 47, 'Features'),(48, 60, 'Material'),(61, 70, 'Type'),(71, 78, 'Type')"
32170,auth . chanel small chevron so black ( incognito ) coco handle bag w / black hw 21k,"(0, 4, 'No Tag'),(5, 6, 'No Tag'),(7, 13, 'Brand'),(14, 19, 'Size'),(20, 27, 'Pattern'),(28, 36, 'Model'),(37, 38, 'No Tag'),(39, 48, 'No Tag'),(49, 50, 'No Tag'),(51, 55, 'Product Line'),(56, 62, 'Handle Style'),(63, 66, 'Type'),(67, 68, 'No Tag'),(69, 70, 'No Tag'),(31, 36, 'Color'),(77, 79, 'No Tag'),(80, 83, 'Hardware Material')"
32187,louis vuitton monogram viva cite mm shoulder bag m51164 lv auth 19813,"(0, 13, 'Brand'),(14, 22, 'Pattern'),(23, 35, 'Model'),(36, 44, 'Type'),(45, 48, 'Type'),(49, 55, 'MPN'),(56, 58, 'Brand'),(59, 63, 'No Tag'),(64, 69, 'No Tag')"
32196,gucci g jackie hobo hand bag leather white gold-plated made in italy 37mi715,"(0, 5, 'Brand'),(0, 8, 'Model'),(15, 19, 'Type'),(20, 28, 'Type'),(29, 36, 'Material'),(37, 42, 'Color'),(43, 54, 'Hardware Material'),(55, 59, 'No Tag'),(60, 62, 'No Tag'),(63, 68, 'Country/Region of Manufacture'),(69, 76, 'MPN')"
32207,freitag tasche f72 dona womens white / red shopper hand bag handtasche,"(0, 7, 'Brand'),(8, 14, 'Type'),(15, 23, 'Model'),(24, 30, 'Department'),(31, 36, 'Color'),(37, 38, 'No Tag'),(39, 42, 'Color'),(43, 50, 'Type'),(51, 70, 'Type')"
32216,rare ! louis vuitton buzas marie kate monogram mini shoulder bag m92324 # 53553,"(0, 4, 'No Tag'),(5, 6, 'No Tag'),(7, 20, 'Brand'),(21, 32, 'Model'),(33, 37, 'Brand'),(38, 46, 'Pattern'),(47, 51, 'Size'),(52, 60, 'Type'),(61, 64, 'Type'),(65, 71, 'MPN'),(72, 73, 'No Tag'),(74, 79, 'No Tag')"
32228,gucci guccissima leather handbag great condition … beautiful !!! luggage color,"(0, 5, 'Brand'),(6, 16, 'Product Line'),(17, 24, 'Material'),(25, 32, 'Type'),(33, 38, 'No Tag'),(39, 48, 'No Tag'),(49, 50, 'No Tag'),(51, 60, 'No Tag'),(0, 3, 'No Tag'),(65, 72, 'Type'),(73, 78, 'No Tag')"
32239,chanel cc logo matelasse chain hand bag leather black france vintage 94mq067,"(0, 6, 'Brand'),(7, 14, 'Accents'),(15, 24, 'Pattern'),(25, 30, 'Handle/Strap Material'),(31, 39, 'Type'),(40, 47, 'Material'),(48, 53, 'Color'),(54, 60, 'Country/Region of Manufacture'),(61, 68, 'No Tag'),(69, 76, 'MPN')"
32249,chanel mini clutch gold iridescent calfskin perfume charms 2015 no 5 bottle new !,"(0, 6, 'Brand'),(7, 11, 'Size'),(12, 18, 'Type'),(19, 23, 'Color'),(24, 34, 'Accents'),(35, 43, 'Material'),(44, 51, 'No Tag'),(52, 58, 'No Tag'),(59, 63, 'No Tag'),(64, 66, 'No Tag'),(62, 63, 'No Tag'),(69, 75, 'No Tag'),(76, 79, 'No Tag'),(80, 81, 'No Tag')"
32263,new fashion red women small crossbody handbag purse bag shoulder strap bag,"(0, 3, 'No Tag'),(4, 11, 'No Tag'),(12, 15, 'Color'),(16, 21, 'Department'),(22, 27, 'Size'),(28, 37, 'Type'),(38, 45, 'Type'),(46, 51, 'Type'),(42, 45, 'Type'),(56, 70, 'Handle Style'),(42, 45, 'Type')"
32274,prada vitello daino side pocket black leather tote,"(0, 5, 'Brand'),(6, 19, 'Model'),(20, 31, 'Pocket Type'),(32, 37, 'Color'),(38, 45, 'Material'),(46, 50, 'Type')"
32280,bostanten women handbag genuine leather tote shoulder purses,"(0, 9, 'Brand'),(10, 15, 'Department'),(16, 23, 'Type'),(24, 31, 'No Tag'),(32, 39, 'Material'),(40, 44, 'Type'),(45, 53, 'Type'),(54, 60, 'Type')"
32288,chanel cc deauville chain shoulder tote bag canvas leather beige italy 52mq068,"(0, 6, 'Brand'),(7, 9, 'Brand'),(10, 19, 'Model'),(20, 25, 'Handle/Strap Material'),(26, 34, 'Type'),(35, 39, 'Type'),(40, 43, 'Type'),(44, 50, 'Fabric Type'),(51, 58, 'Material'),(59, 64, 'Color'),(65, 70, 'Country/Region of Manufacture'),(71, 78, 'MPN')"
32300,louis vuitton neverfull pm damier ebene ( mle-jp ) ( pbr059871 ),"(0, 13, 'Brand'),(14, 26, 'Model'),(27, 33, 'Product Line'),(34, 39, 'Color'),(40, 41, 'No Tag'),(42, 48, 'No Tag'),(49, 50, 'No Tag'),(40, 41, 'No Tag'),(53, 62, 'No Tag'),(49, 50, 'No Tag')"
